sample_num,"Permeability, nD","Porosity, fraction",r100,r99,r98,r97,r96,r95,r94,r93,r92,r91,r90,r89,r88,r87,r86,r85,r84,r83,r82,r81,r80,r79,r78,r77,r76,r75,r74,r73,r72,r71,r70,r69,r68,r67,r66,r65,r64,r63,r62,r61,r60,r59,r58,r57,r56,r55,r54,r53,r52,r51,r50,r49,r48,r47,r46,r45,r44,r43,r42,r41,r40,r39,r38,r37,r36,r35,r34,r33,r32,r31,r30,r29,r28,r27,r26,r25,r24,r23,r22,r21,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
5,66.64853785,0.0311598,1.803163973,1.822816364,1.842468754,1.862121144,1.881773534,1.939191436,2.001182248,2.063173059,2.109996874,2.115624488,2.121252102,2.126879715,2.132507329,2.14226978,2.155401226,2.168532672,2.181664119,2.194795565,2.211499927,2.233935929,2.256371932,2.278807935,2.301243937,2.32367994,2.342550321,2.359864946,2.377179571,2.394494196,2.411808821,2.429123446,2.446438071,2.45903983,2.470368635,2.48169744,2.493026245,2.50435505,2.515683855,2.52701266,2.538341465,2.549724458,2.561158762,2.572593066,2.58402737,2.595461675,2.606895979,2.618330283,2.62590237,2.628627053,2.631351736,2.634076418,2.636801101,2.639525783,2.646974732,2.661595209,2.676215686,2.690836164,2.705456641,2.720077118,2.735990431,2.752581127,2.769171822,2.785762517,2.802353212,2.818078405,2.832685028,2.847291652,2.861898276,2.876504899,2.905313944,2.94538949,2.985465037,3.025540584,3.06561613,3.13023391,3.197201029,3.264168148,3.331135267,3.383612832,3.430368509,3.477124187,3.523879864,3.575741744,3.678954279,3.782166815,3.88537935,3.987224497,4.087412339,4.187600181,4.287788023,4.361594504,4.430746108,4.48015496,4.507267906,4.628283348,4.893288133,5.834821933,6.642621118,7.07231138,7.425006185,8.116568002
23,900,0.0512,2.015158504,2.032788268,2.050418031,2.068047795,2.085677558,2.103307322,2.120937085,2.138566849,2.158215722,2.179148332,2.200080943,2.221013553,2.241946163,2.263269035,2.285124953,2.306980872,2.32883679,2.350692708,2.372518484,2.394245679,2.415972875,2.43770007,2.459427266,2.481154461,2.502325863,2.522297627,2.542269392,2.562241156,2.582212921,2.602184686,2.62215645,2.642128215,2.660606137,2.678925046,2.697243955,2.715562863,2.733881772,2.752200681,2.770519589,2.790660632,2.812598558,2.834536483,2.856474409,2.878412335,2.90035026,2.926033428,2.954226681,2.982419933,3.010613186,3.038806438,3.070312637,3.107368231,3.144423825,3.18147942,3.218535014,3.253084454,3.275717581,3.298350709,3.320983836,3.343616964,3.366250092,3.388883219,3.41575001,3.446402963,3.477055915,3.507708868,3.538361821,3.569014774,3.599667727,3.63261749,3.665988315,3.699359139,3.732729963,3.770630837,3.817421828,3.864212818,3.911003809,3.957794799,4.006054026,4.06122878,4.116403533,4.171578287,4.233397106,4.301643516,4.369889927,4.438136337,4.495678476,4.551205398,4.60673232,4.692249055,4.783377356,4.874505656,4.965993993,5.059715469,5.153436945,5.296344403,5.443613659,5.566044469,5.677746809,5.789449148
24,1200,0.0525,1.982125494,2.010938142,2.039750789,2.068563436,2.097376084,2.123414918,2.14794791,2.172480903,2.197013896,2.236486781,2.277231582,2.317976383,2.347940417,2.374821536,2.401702655,2.428616137,2.456948839,2.485281541,2.513614243,2.541946945,2.570730129,2.614009348,2.657288566,2.700567785,2.737712469,2.758643851,2.779575234,2.800506617,2.821438,2.843232854,2.867569724,2.891906595,2.916243465,2.940580336,2.964917206,2.989902162,3.015282231,3.040662301,3.06604237,3.091422439,3.116802509,3.142182578,3.173003538,3.205229662,3.237455785,3.269681909,3.301908032,3.33371967,3.362008191,3.390296711,3.418585232,3.446873752,3.475162272,3.503450793,3.537645156,3.573025277,3.608405398,3.643785518,3.679165639,3.714545759,3.747933225,3.779756081,3.811578936,3.843401792,3.875224648,3.907047503,3.938423591,3.96883162,3.999239648,4.029647677,4.060055706,4.090463735,4.134337105,4.183686518,4.233035932,4.282385345,4.33159278,4.380445274,4.429297768,4.478150262,4.527002756,4.57585525,4.631471056,4.690058283,4.74864551,4.807232737,4.870895735,4.935067467,4.999239199,5.06341093,5.13236716,5.20539761,5.278428061,5.351458512,5.439162185,5.52997869,5.620795195,5.750114623,5.897693752,6.080377031
31,130.0647,0.0372,1.805925075,1.823319168,1.840713262,1.858107355,1.875501449,1.916137257,1.978782653,2.04142805,2.104073446,2.166718843,2.229364239,2.292009636,2.324232418,2.337578052,2.350923686,2.36426932,2.377614955,2.390960589,2.404306223,2.417651858,2.430997492,2.444343126,2.458722825,2.476494953,2.49426708,2.512039208,2.529811336,2.547583463,2.565355591,2.583127719,2.600899847,2.624135803,2.651554387,2.67897297,2.706391553,2.733810136,2.761228719,2.788647302,2.816065886,2.852697912,2.895740081,2.938782249,2.981824417,3.024866585,3.067908754,3.110950922,3.15399309,3.203285544,3.255811355,3.308337167,3.360862978,3.413388789,3.4659146,3.518440411,3.56919865,3.619031431,3.668864213,3.718696995,3.768529776,3.818362558,3.86819534,3.918028121,3.965904674,4.013269408,4.060634141,4.107998875,4.155363608,4.202728342,4.250093076,4.307220721,4.366303268,4.425385815,4.484468362,4.543550909,4.602633457,4.661716004,4.637395961,4.603384836,4.569373711,4.535362586,4.617164645,4.84784136,5.078518076,5.309194791,5.539871507,5.770548222,5.92255498,6.068667589,6.214780199,6.360892809,6.664878098,7.103859016,7.542839935,7.981125531,8.395479926,8.80983432,9.224188714,10.37793443,12.11105783,13.84418123
25,1100,0.0125,2.003795912,2.033179309,2.062562707,2.091946104,2.137785735,2.19499756,2.242907088,2.26683386,2.290760632,2.340985043,2.410087114,2.479189184,2.510341108,2.537691623,2.565042137,2.592392651,2.622591675,2.653721602,2.68485153,2.715981458,2.753016943,2.790456369,2.827895795,2.865335221,2.902086761,2.927642275,2.953197789,2.978753302,3.004308816,3.02986433,3.052846881,3.071712139,3.090577397,3.109442655,3.128307913,3.148077178,3.185450962,3.222824746,3.26019853,3.297572314,3.334946097,3.37219744,3.404910731,3.437624022,3.470337312,3.503050603,3.535763894,3.568477184,3.602315679,3.636163442,3.670011204,3.703858967,3.737706729,3.772275476,3.808784983,3.845294491,3.881803999,3.918313507,3.954823015,3.991689127,4.029705108,4.067721089,4.105737069,4.14375305,4.181769031,4.220213279,4.259004835,4.297796392,4.336587948,4.375379504,4.422176557,4.474245784,4.52631501,4.578384237,4.630531163,4.685439485,4.740347806,4.795256127,4.850164448,4.930312773,5.016248346,5.102183919,5.203224761,5.309447424,5.415670088,5.550192965,5.696165135,5.834087311,5.958090594,6.083416316,6.247371545,6.484619628,6.842693681,7.266493242,7.460299614,7.826577607,8.304794901,8.946553078,9.610719676,10.77511377
22,1300,0.027,1.963925406,1.969107874,1.974290341,1.979472809,1.984655276,1.989837744,1.995020212,2.000202679,2.005385147,2.010567614,2.015750082,2.020932549,2.040415682,2.083331958,2.127693099,2.196150063,2.264435603,2.331978473,2.390548633,2.428582333,2.466616034,2.512308041,2.565667805,2.61902757,2.672396885,2.725770381,2.779143878,2.811218068,2.841083149,2.870948231,2.903414692,2.946572646,2.9897306,3.032888554,3.078184732,3.126029212,3.173873693,3.221718173,3.266766757,3.304567225,3.342367693,3.380168161,3.420705311,3.485687458,3.550669605,3.615651752,3.66570348,3.71330135,3.760899219,3.808497088,3.85254896,3.894829557,3.937110154,3.979390751,4.021524003,4.063503716,4.10548343,4.147463143,4.189442857,4.240868956,4.30454138,4.368213805,4.431886229,4.490793465,4.547631203,4.604468941,4.661306679,4.718781823,4.792372975,4.865964128,4.939555281,5.013146433,5.074293632,5.13319157,5.192089509,5.250987448,5.297116622,5.336549737,5.375982853,5.415415968,5.454849084,5.494282199,5.533715315,5.658631093,5.825129943,5.997541606,6.171113233,6.294084612,6.414702641,6.538251285,6.663580429,6.788909574,6.941587311,7.100233374,7.302856337,7.551678668,7.840049915,8.136573777,8.386759137,8.712630921
26,1900,0.0134,2.034933334,2.128420749,2.24362223,2.332353224,2.399695419,2.449743003,2.505549715,2.568656167,2.631556927,2.682233463,2.73291,2.781237477,2.823547273,2.86585707,2.908166866,2.946175508,2.983311208,3.020446908,3.057582608,3.094031256,3.13017708,3.166322905,3.202468729,3.239090077,3.277401613,3.315713149,3.354024685,3.392336221,3.428293617,3.460641927,3.492990236,3.525338545,3.557686855,3.590035164,3.626294138,3.663352112,3.700410085,3.737468058,3.774526031,3.810970586,3.845830287,3.880689987,3.915549687,3.950409387,3.985269087,4.020264189,4.058507034,4.096749879,4.134992723,4.173235568,4.211478413,4.246772814,4.279142397,4.311511981,4.343881564,4.376251148,4.408620731,4.440990315,4.4724424,4.503318539,4.534194679,4.565070818,4.595946957,4.626823096,4.657699236,4.689185373,4.76698044,4.844775508,4.922570575,4.981797802,5.026729976,5.07166215,5.116594323,5.161526497,5.222063546,5.288042928,5.35402231,5.420001691,5.488446072,5.564076788,5.639707504,5.71533822,5.80301698,5.905755988,6.008494996,6.111234004,6.246856554,6.383012107,6.519350402,6.656369155,6.807771133,7.047249389,7.289313836,7.535361923,8.465973377,8.912484428,9.822388297,11.04039682,12.87265622,16.05957651
27,1900,0.0473,2.083849036,2.166062087,2.241616974,2.300917493,2.375350694,2.461236354,2.522425062,2.579596557,2.627214035,2.670537623,2.713861211,2.766830186,2.824287947,2.881745707,2.929263735,2.972256832,3.015249929,3.058062646,3.100461804,3.142860963,3.185260121,3.226773412,3.258485617,3.290197822,3.321910027,3.353622232,3.386360907,3.419280586,3.452200265,3.485119945,3.518039624,3.553924208,3.596913054,3.639901901,3.682890747,3.725879594,3.76886844,3.801701455,3.830946717,3.860191979,3.889437241,3.918682503,3.947927765,3.978562404,4.00952854,4.040494675,4.071460811,4.102426947,4.133393083,4.166087636,4.20134744,4.236607244,4.271867048,4.307126852,4.342386657,4.380074879,4.420235749,4.46039662,4.50055749,4.54071836,4.58087923,4.622448345,4.674833156,4.727217968,4.779602779,4.83198759,4.884372402,4.934169792,4.971512276,5.00885476,5.046197244,5.083539728,5.120882211,5.172966677,5.232050474,5.291134271,5.350218068,5.409301865,5.468302669,5.52724153,5.58618039,5.64511925,5.721717222,5.832412778,5.943108335,6.062968152,6.20198232,6.340996487,6.477986869,6.614404881,6.866988771,7.178529906,7.476266003,7.977387668,8.565680549,9.315405924,10.47395257,11.89604247,13.50630388,17.04107516
3,49020,0.083,1.59,1.61176,1.63352,1.65528,1.67704,1.6988,1.72056,1.74232,1.763719014,1.784921127,1.806123239,1.827325352,1.848527465,1.869729577,1.89093169,1.912133803,1.938588393,1.97315,2.007711607,2.042273214,2.076834821,2.111396429,2.145958036,2.173253061,2.199585714,2.225918367,2.25225102,2.278583673,2.304916327,2.33124898,2.357581633,2.383914286,2.410246939,2.436579592,2.468569811,2.506440252,2.544310692,2.582181132,2.620051572,2.657922013,2.695792453,2.733662893,2.771533333,2.81424,2.871586667,2.928933333,2.98628,3.043626667,3.100973333,3.15832,3.215666667,3.273013333,3.33036,3.392848485,3.458015152,3.523181818,3.588348485,3.653515152,3.718681818,3.783848485,3.849015152,3.914181818,3.979348485,4.044515152,4.114073214,4.208797619,4.303522024,4.398246429,4.492970833,4.587695238,4.682419643,4.777144048,4.871868452,4.966592857,5.071116102,5.191398305,5.311680508,5.431962712,5.552244915,5.672527119,5.792809322,6.000786632,6.288257069,6.708472,7.499856,8.45590625,9.4505125,11.80795294,14.54440237,18.09088757,22.7728,39.00035,58.37232323,85.82602151,126.6815217,196.8461538,266.4683333,403.5781818,557.51,813.905
4,13,0.074,1.59,1.62673974,1.663479481,1.700219221,1.736958961,1.7899175,1.851801,1.9136845,1.946672,1.9731935,1.999715,2.0262365,2.052758,2.0792795,2.105801,2.1323225,2.163176667,2.202691023,2.242205379,2.281719735,2.321234091,2.360748447,2.400262803,2.439777159,2.490392667,2.542698958,2.59500525,2.647311542,2.699617833,2.751924125,2.803772613,2.850418467,2.897064322,2.943710176,2.99035603,3.037001884,3.083647739,3.130293593,3.176939447,3.223585302,3.270231156,3.31687701,3.380032663,3.446669598,3.513306533,3.579943467,3.646580402,3.713217337,3.779854271,3.846491206,3.913128141,3.979765075,4.04640201,4.117614889,4.192268,4.266921111,4.341574222,4.416227333,4.490880444,4.565533556,4.640186667,4.714839778,4.789492889,4.864146,4.938799111,5.013452222,5.097394688,5.183037031,5.268679375,5.354321719,5.439964063,5.525606406,5.61124875,5.696891094,5.782533438,5.972850877,6.189985965,6.407121053,6.705789831,7.06540339,7.425016949,7.822783607,8.344518033,8.866252459,9.387986885,10.43927941,11.63534706,13.83293333,17.07029586,21.46414706,28.78766667,41.6058375,63.18969697,93.10865591,141.2994565,212.0961538,313.3981818,441.1156818,603.7616522,885.5570833
