image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
63.JPG,79.3,2.13,0.399132,4842,30.526109062113633,14439633.255652897
77.JPG,72.1,2.44,0.449432,6247,34.673270837094826,11965875.852499148
88.JPG,50.1,1.12,0.44990600000000003,4437,29.221585311742697,19049166.4491356
89.JPG,68.1,2.33,0.44986000000000004,5408,32.26096844887279,13272626.514350569
76.JPG,69.2,2.03,0.449484,3736,26.814054807708846,18900597.176327508
62.JPG,80.3,2.32,0.39943599999999996,4118,28.151544709085258,15732858.585546328
74.JPG,67.4,2.25,0.44917,6694,35.89235156202202,11432640.883129364
60.JPG,74.1,2.2,0.349923,5518,32.58741467391133,10916800.95891508
48.JPG,74.3,2.2,0.349411,4977,30.94873335995496,11793842.414991159
149.JPG,72.4,2.19,0.599453,6979,36.64845394044337,15535272.53528885
148.JPG,72.9,2.19,0.599785,5413,32.275878542772695,18872098.659444813
49.JPG,70.5,2.25,0.34981599999999996,5401,32.24008273300576,10696673.690269163
61.JPG,65.5,2.32,0.349834,4838,30.513497572601153,11028099.781290505
75.JPG,70.8,2.03,0.449182,3789,27.00358105856513,18904226.494901437
59.JPG,75.5,2.35,0.349972,4624,29.831010960256496,12175053.732673744
71.JPG,69.5,2.56,0.399128,7641,38.34724417250837,8757565.159676736
65.JPG,70.2,2.28,0.39965300000000004,4762,30.272881053736295,13313847.501422862
64.JPG,64.9,1.88,0.399428,5453,32.394912244008474,12728191.998719104
70.JPG,67.8,2.05,0.399363,4454,29.27751184197292,14497879.792360963
58.JPG,60.7,2.23,0.349262,3542,26.108585136372636,13658979.226845108
8.JPG,58.0,1.98,0.199843,6264,34.72041707796637,5286800.739048767
66.JPG,65.0,2.38,0.399814,5535,32.6375741539542,11205968.307454811
72.JPG,62.0,2.02,0.399199,7753,38.627264278948395,9212312.852838552
99.JPG,58.2,2.46,0.29668900000000004,4103,28.100226300897972,9687922.532051094
98.JPG,67.5,2.22,0.449453,4016,27.800711508074375,16907360.633320924
73.JPG,76.1,2.06,0.39916199999999996,5625,32.90185032381231,12855158.172595799
67.JPG,54.5,1.66,0.399303,5289,31.904051852097254,12696324.57824418
9.JPG,72.5,2.34,0.19989500000000002,2434,21.643094011774664,11050552.36529386
14.JPG,55.7,2.34,0.249597,5565,32.72590333889587,6504614.531489797
28.JPG,82.7,2.37,0.299977,4363,28.97688288086636,11360280.142277729
129.JPG,75.7,2.22,0.54887,6434,35.18840543875237,15354708.12859793
101.JPG,82.0,2.7,0.498892,6037,34.0854982609798,13815834.228305496
115.JPG,68.3,2.22,0.499684,5879,33.63649918647802,14207351.471779076
114.JPG,83.2,2.28,0.49908800000000003,6261,34.71210180612446,14741782.564689318
100.JPG,49.6,0.8,0.499243,5244,31.768038506389814,21954433.145988826
128.JPG,70.0,1.75,0.5489740000000001,5035,31.128543200572718,19991416.961119507
29.JPG,64.4,2.05,0.299611,4374,29.01338815923563,10745486.547833567
15.JPG,68.1,2.56,0.249667,5859,33.57923578236019,6617721.771146938
