image_number,Penetration_depth (nm),Load (mN),E (GPa)
1,1760,99.913,62.7
2,1954,149.694,76.5
3,1968,149.817,78.9
4,2228,149.91,52.8
5,2035,149.953,71.1
6,2404,199.856,59.9
7,2760,199.732,43.9
8,2699,199.843,58
9,2341,199.895,72.5
10,2324,199.779,68.1
11,2840,199.852,54.8
12,2348,199.728,70.3
13,2339,199.878,72.8
14,4332,249.597,55.7
15,2839,249.667,68.1
16,2832,249.579,71.8
17,3599,249.787,58.7
18,2520,249.959,76
19,2503,249.928,79.3
20,2941,249.907,61.7
21,2586,249.753,80.1
22,2648,249.488,61.6
23,2700,249.546,64.8
24,3822,299.594,64.1
25,2996,299.713,73.6
26,2807,299.744,82.8
27,3071,299.765,69.6
28,2916,299.977,82.7
29,3953,299.611,64.4
30,2815,299.481,70.3
31,2681,299.814,77.2
32,2824,299.631,70
33,2849,299.928,72.3
34,2873,299.722,72
35,3767,299.675,65.7
36,2717,299.679,69.7
37,2824,299.774,73.2
38,2738,299.389,75.2
39,3874,299.489,55
40,3109,299.881,65.3
41,2719,299.439,70.5
42,2937,299.928,71.2
43,2705,299.663,84.7
44,4561,349.72,64.5
45,3032,349.631,78
46,3043,349.453,80.3
47,3272,349.966,60.7
48,3046,349.411,74.3
49,3132,349.816,70.5
50,3924,349.66,67.6
51,4774,349.612,64.7
52,3581,349.305,59.7
53,3170,349.591,76.2
54,3046,349.454,72.5
55,3175,349.335,75.9
56,4088,349.588,61.4
57,2987,349.313,72.1
58,3553,349.262,60.7
59,3079,349.972,75.5
60,2960,349.923,74.1
61,3410,349.834,65.5
62,3350,399.436,80.3
63,3370,399.132,79.3
64,3465,399.428,64.9
65,3417,399.653,70.2
66,3526,399.814,65
67,4780,399.303,54.5
68,4914,399.441,58.9
69,3371,399.764,71.9
70,3441,399.363,67.8
71,3511,399.128,69.5
72,3969,399.199,62
73,3139,399.162,76.1
74,3562,449.17,67.4
75,3699,449.182,70.8
76,3559,449.484,69.2
77,3568,449.432,72.1
78,4490,449.161,66.9
79,3248,449.733,75.5
80,3735,449.406,68.5
81,3845,449.758,64.4
82,3458,449.64,80.9
83,4770,449.214,66.1
84,5154,375.206,62.6
85,4590,449.902,69.2
86,3567,449.601,71.9
87,3358,449.356,72.6
88,3939,449.906,50.1
89,3529,449.86,68.1
90,4173,449.09,63.5
91,3564,449.474,70.2
92,3587,449.149,75.9
93,3462,449.483,72.9
94,3463,449.53,75
95,3601,449.771,73.7
96,4073,449.064,66.1
97,3472,449.873,77.9
98,3598,449.453,67.5
99,5239,296.689,58.2
100,3967,499.243,49.6
101,3800,498.892,82
102,3806,499.557,69.8
103,3914,498.917,73.4
104,3692,499.804,74.2
105,3743,499.287,79
106,4157,499.808,66.9
107,5163,499.349,61
108,3530,499.06,74.9
109,3758,499.09,77.2
110,3799,499.847,65.7
111,3620,499.889,105.9
112,4065,499.128,57.7
113,4559,499.61,66.5
114,3578,499.088,83.2
115,3837,499.684,68.3
116,4898,549.271,68.1
117,5010,549.566,29.5
118,3970,549.248,75.9
119,3856,549.976,71.3
120,3674,549.869,79.9
121,3965,549.056,84
122,3813,548.956,78.3
123,3832,548.733,76.4
124,3746,549.676,83
125,3793,549.306,74.6
126,3846,549.104,65.7
127,3816,549.018,75.8
128,3861,548.974,70
129,3676,548.87,75.7
130,3687,549.986,70.9
131,3768,548.855,66
132,4591,549.766,60.2
133,4103,549.205,69.2
134,5154,330.805,66.8
135,4069,599.468,73.9
136,4338,599.287,65
137,4439,599.307,74.4
138,4790,599.362,70.4
