Depth (ft),Porosity (%),Matrix Perm (nd),Acoustic impedance (kg/m2s*10^6),Brittleness Ratio,TOC (%),Vitrinite Reflectance (%)
6247.086111,22.82649604,292,3.08,97.68,4.64,1.848
5470.327398,20.95075163,353,3.542,55.404,3.56,1.504
9386.890357,17.66010087,259,4.411,87.36,3.56,2.176
7493.897096,20.91381915,675,2.893,47.772,4.32,1.504
9248.509324,17.90234468,457,3.498,13.128,6.04,1.52
12486.19247,14.62941268,481,2.959,64.32,3.76,1.336
7088.36695,19.90913637,360,3.223,76.452,3.2,1.48
11132.11742,14.69482241,303,3.575,63.6,2.76,1.544
7900.276527,21.71859716,272,2.673,78.924,3.8,1.584
9338.24124,18.97862562,394,4.081,79.44,4.56,2.12
7418.835594,21.77269862,439,2.442,73.332,4.32,1.416
6322.310133,23.2732293,630,2.519,58.92,6.12,1.488
12033.35681,17.80766161,542,3.08,79.98,4.68,1.584
6149.394081,22.10920739,495,2.805,67.716,7.48,1.752
10616.18966,17.62585644,526,2.761,79.464,0.72,1.312
10865.44989,19.00913307,272,3.773,69.636,2.28,1.72
11272.53631,17.70155718,841,3.388,42.588,5.36,1.56
9535.8114,19.43957201,367,2.783,35.316,5.4,1.504
12418.20867,17.3757849,500,3.333,80.904,3.6,1.584
5139.925926,23.72814895,253,3.894,58.584,3.6,2.032
9585.437368,17.62652086,570,2.618,64.272,5.04,1.672
5631.355869,20.77761126,406,2.651,56.136,4.84,1.376
8624.45932,16.78758688,239,2.618,18.816,4,1.184
5970.853687,22.54040857,188,3.619,45.288,1.52,1.36
9205.122826,19.12831139,537,1.529,64.02,7.08,1.368
11014.9454,17.52418577,201,3.751,65.472,0.1,1.344
8573.860582,17.34807171,500,2.805,63.168,5.48,1.632
7373.850269,17.68007768,642,4.114,38.28,4.4,1.72
9782.215599,20.15861401,218,4.499,37.68,2.88,1.656
8773.777558,21.0944164,241,3.19,61.488,3.24,1.576
12405.75016,16.98542236,593,3.135,56.268,5.8,1.96
11341.25372,16.70442864,310,2.695,44.232,3.68,1.272
7609.867356,19.65406524,322,3.773,68.316,3.16,1.816
11648.97852,15.32429002,239,3.245,62.592,4.52,1.76
11051.27168,15.73062028,294,4.598,73.452,1.72,1.96
8436.590568,18.89860639,367,3.487,32.544,2.16,1.352
11331.49941,17.55283156,313,3.949,51.552,1.92,1.544
10750.08911,15.84333375,570,2.508,76.068,5.32,1.568
