image_number,Penetration_depth (nm),Load (mN),H (GPa)
1,1760,99.913,2.07
2,1954,149.694,2.12
3,1968,149.817,2.81
4,2228,149.91,1.93
5,2035,149.953,2.4
6,2404,199.856,3.28
7,2760,199.732,0.91
8,2699,199.843,1.98
9,2341,199.895,2.34
10,2324,199.779,2.19
11,2840,199.852,2.02
12,2348,199.728,2.37
13,2339,199.878,2.19
14,4332,249.597,2.34
15,2839,249.667,2.56
16,2832,249.579,2.06
17,3599,249.787,2.28
18,2520,249.959,2.35
19,2503,249.928,2.92
20,2941,249.907,2.32
21,2586,249.753,2.02
22,2648,249.488,1.83
23,2700,249.546,2.27
24,3822,299.594,2
25,2996,299.713,2.36
26,2807,299.744,2.6
27,3071,299.765,1.95
28,2916,299.977,2.37
29,3953,299.611,2.05
30,2815,299.481,2.04
31,2681,299.814,2.51
32,2824,299.631,1.77
33,2849,299.928,2.13
34,2873,299.722,2.2
35,3767,299.675,2.16
36,2717,299.679,2.42
37,2824,299.774,2.05
38,2738,299.389,2.56
39,3874,299.489,2.52
40,3109,299.881,2.17
41,2719,299.439,2.41
42,2937,299.928,2.17
43,2705,299.663,2.43
44,4561,349.72,1.96
45,3032,349.631,2.21
46,3043,349.453,2.62
47,3272,349.966,1.28
48,3046,349.411,2.2
49,3132,349.816,2.25
50,3924,349.66,2.28
51,4774,349.612,2.35
52,3581,349.305,2.22
53,3170,349.591,2.13
54,3046,349.454,1.93
55,3175,349.335,2.38
56,4088,349.588,2.19
57,2987,349.313,2.17
58,3553,349.262,2.23
59,3079,349.972,2.35
60,2960,349.923,2.2
61,3410,349.834,2.32
62,3350,399.436,2.32
63,3370,399.132,2.13
64,3465,399.428,1.88
65,3417,399.653,2.28
66,3526,399.814,2.38
67,4780,399.303,1.66
68,4914,399.441,1.99
69,3371,399.764,2.16
70,3441,399.363,2.05
71,3511,399.128,2.56
72,3969,399.199,2.02
73,3139,399.162,2.06
74,3562,449.17,2.25
75,3699,449.182,2.03
76,3559,449.484,2.03
77,3568,449.432,2.44
78,4490,449.161,2.7
79,3248,449.733,2.58
80,3735,449.406,2.55
81,3845,449.758,1.97
82,3458,449.64,2.27
83,4770,449.214,2.38
84,5154,375.206,2.15
85,4590,449.902,2.69
86,3567,449.601,2.09
87,3358,449.356,2.36
88,3939,449.906,1.12
89,3529,449.86,2.33
90,4173,449.09,2.22
91,3564,449.474,2.39
92,3587,449.149,2.15
93,3462,449.483,2.31
94,3463,449.53,2.35
95,3601,449.771,2.62
96,4073,449.064,2.29
97,3472,449.873,2.47
98,3598,449.453,2.22
99,5239,296.689,2.46
100,3967,499.243,0.8
101,3800,498.892,2.7
102,3806,499.557,2.14
103,3914,498.917,2.29
104,3692,499.804,2.34
105,3743,499.287,2.43
106,4157,499.808,2.45
107,5163,499.349,2.35
108,3530,499.06,2.53
109,3758,499.09,2.12
110,3799,499.847,2.22
111,3620,499.889,5.6
112,4065,499.128,2
113,4559,499.61,2.35
114,3578,499.088,2.28
115,3837,499.684,2.22
116,4898,549.271,2.35
117,5010,549.566,0.38
118,3970,549.248,2.13
119,3856,549.976,2.26
120,3674,549.869,2.73
121,3965,549.056,2.41
122,3813,548.956,2.66
123,3832,548.733,2.43
124,3746,549.676,2.36
125,3793,549.306,2.17
126,3846,549.104,2.28
127,3816,549.018,2.15
128,3861,548.974,1.75
129,3676,548.87,2.22
130,3687,549.986,2.2
131,3768,548.855,2.3
132,4591,549.766,2.09
133,4103,549.205,2.51
134,5154,330.805,2.26
135,4069,599.468,2.34
136,4338,599.287,2.08
137,4439,599.307,3.18
138,4790,599.362,2.31
139,5155,508.367,2.32
140,5154,357.84,2.29
141,5162,286.738,2.37
142,5140,433.392,2.28
143,5182,551.12,2.22
144,4468,599.682,2.01
145,3990,599.189,2.3
146,3943,599.454,2.17
147,4473,598.946,2.34
148,4254,599.785,2.19
149,4048,599.453,2.19
150,4018,599.587,2.35
151,4160,599.579,2.54
152,3882,599.865,2.86
153,5175,592.269,2.36
154,5190,427.089,1.74
155,5142,484.305,2.28
156,3803,599.344,2.29
157,3939,599.785,2.4
158,3984,599.729,2.41
159,4011,599.454,2.3
160,4660,598.969,2.34
161,5151,528.083,2.41
162,5155,399.467,2.05
163,4077,599.748,2.36
164,3759,599.85,2.59
165,3967,599.567,2.34
166,4030,599.855,2.23
167,5160,566.611,2.15
168,3888,598.849,2.51
169,3900,598.723,2.4
170,4104,599.296,2.36
171,5166,327.994,2.23
172,5150,437.544,2.54
173,4387,649.914,2.32
174,4234,649.251,2.33
175,5160,403.724,2.08
176,5134,570.369,1.97
177,4738,649.446,2.09
178,4094,649.416,1.7
179,4262,649.847,2.25
180,4198,649.052,2.17
181,4079,649.197,2.03
182,5146,441.633,1.98
183,5141,523.355,2.46
184,4243,649.664,2.23
185,4163,649.893,2.14
186,3922,649.777,1.81
187,4153,649.548,2.26
188,4177,649.572,2.51
189,4073,649.984,1.96
190,4260,649.683,2
191,5137,599.565,2.47
192,4676,649.737,1.64
193,4413,648.796,1.55
194,3907,648.999,2.22
195,4431,649.425,2.29
196,4236,649.175,2.48
197,5064,648.804,1.66
198,4042,649.638,2.58
199,4681,649.698,2.33
200,5153,524.347,2.93
201,4543,648.813,1.92
202,5173,542.556,2.28
203,5150,333.048,1.84
204,5146,437.243,2.25
205,5138,669.044,2.29
206,4317,698.962,2.32
207,4471,699.088,2.13
208,4781,699.383,2.05
209,4399,699.385,2.29
210,5122,699.342,2.19
211,5147,320.324,2.17
212,5145,421.846,2.84
213,4505,698.693,2.2
214,4459,699.623,2.25
215,4201,699.76,2.08
216,4788,699.611,2.15
217,4326,699.014,2.26
218,4428,699.673,1.65
219,4309,699.206,2.51
220,4332,699.29,2.37
221,4389,699.877,2.14
222,4260,699.379,2.58
223,4270,698.807,2.31
224,4441,699.612,2.18
225,4399,699.939,1.2
226,4530,698.577,2.23
227,4271,699.464,2.14
228,5155,333.219,2.17
229,4648,749.098,2.38
230,4418,749.71,2.28
231,5151,687.263,2.28
232,5139,724.699,2.22
233,5148,506.348,2.28
234,5138,426.239,2.16
235,5170,547.512,2.31
236,4948,748.928,2.17
237,4409,748.744,2.07
238,4517,749.292,2.26
239,4877,748.633,2.54
240,4296,748.506,3.11
241,4295,749.685,2.38
242,4367,749.675,2.19
243,4407,749.933,2.64
244,4608,749.305,2.23
245,4512,749.777,2.21
246,4401,748.991,2
247,5152,408.906,2.35
248,4770,749.108,1.8
249,4426,748.576,2.24
250,4676,749.387,2.29
251,5153,538.478,1.68
252,4417,748.524,2.48
253,4548,749.62,2.46
254,4632,748.947,2.46
255,5151,541.749,2.42
256,4879,798.513,2.16
257,4794,799.235,2.28
258,4887,799.462,2.38
259,5150,653.05,2.16
260,5159,447.637,2.31
261,5134,501.639,1.91
262,4640,798.884,2.61
263,4720,799.821,2.51
264,4565,798.673,2.19
265,4878,799.154,2.31
266,4632,798.627,2.19
267,4399,799.546,2.67
268,5156,796.277,2.22
269,5146,448.976,2.07
270,5162,601.571,2.4
271,4606,799.229,2.5
272,4543,798.747,2.48
273,4615,799.037,2.11
274,5143,781.874,2.3
275,4643,799.506,2.36
276,5118,596.59,2.11
277,5084,799.848,1.86
278,4457,799.084,2.33
279,4819,798.917,2.18
280,4781,799.591,2.09
281,5138,504.795,2.57
282,4563,798.293,2.44
283,5149,736.738,2.21
284,5238,222.74,1.97
285,5150,440.743,2.43
286,5146,527.755,2.24
287,5157,704.804,2.04
288,5070,849.143,2.02
289,4725,849.208,2.23
290,5123,735.122,2.36
291,4928,849.891,2.21
292,4833,848.216,1.77
